Id,forecasts
s1h1,6707.637577441799
s1h2,6818.682389250651
s1h3,6734.484417308132
s1h4,6857.083828194782
s1h5,6535.78959613828
s1h6,6307.915959346176
s1h7,6318.1039043216915
s1h8,6641.9918262613055
s1h9,6752.6491448260695
s1h10,6668.063679639462
s1h11,6790.275597282023
s1h12,6468.593871981436
s1h13,6240.332741945243
s1h14,6250.13319367667
s1h15,6573.6336223721955
s1h16,6683.903447692869
s1h17,6598.930489262175
s1h18,6720.754913660647
s1h19,6398.68569511597
s1h20,6170.03707183569
s1h21,6179.450030323028
s2h1,6022.3786662590965
s2h2,5964.352098881729
s2h3,5929.619782933588
s2h4,5886.845075062669
s2h5,5808.436104754086
s2h6,5492.286571572227
s2h7,5597.894151476229
s2h8,5995.4777758932405
s2h9,5927.088665423397
s2h10,5889.273062020077
s2h11,5845.498525466741
s2h12,5766.686051247679
s2h13,5450.303693430726
s2h14,5555.727300292619
s2h15,5953.14093390486
s2h16,5884.585834607438
s2h17,5846.605387817079
s2h18,5802.6663357231555
s2h19,5723.689439799277
s2h20,5407.142687135057
s2h21,5512.401906836813
s3h1,138964.75910837456
s3h2,139286.2240235034
s3h3,133715.7197116377
s3h4,132990.80302534718
s3h5,124121.93298026592
s3h6,98055.34120290387
s3h7,104618.67896896125
s3h8,139709.63579212406
s3h9,138781.11634261406
s3h10,132734.3370970144
s3h11,131825.61227506417
s3h12,122883.48829536968
s3h13,96785.43273342004
s3h14,103333.10364185077
s3h15,138414.3649403747
s3h16,137478.40716585325
s3h17,131425.042830218
s3h18,130510.05544616256
s3h19,121561.79082185187
s3h20,95457.64070082695
s3h21,101999.23447079289
s4h1,5684.505773366846
s4h2,5706.985047450433
s4h3,5547.284547304197
s4h4,5596.037600336022
s4h5,5452.906257562257
s4h6,5350.428591341954
s4h7,5422.911146161124
s4h8,5582.041635343852
s4h9,5606.647197128884
s4h10,5447.611348277931
s4h11,5496.418383780658
s4h12,5353.085887240429
s4h13,5250.300471833983
s4h14,5322.430742109691
s4h15,5481.190339963999
s4h16,5505.417236542341
s4h17,5345.9994745736
s4h18,5394.423239987654
s4h19,5250.706906418973
s4h20,5147.537417117749
s4h21,5219.283514536393
s5h1,4086.7098040354263
s5h2,3950.744314179197
s5h3,3776.5715966435787
s5h4,3610.9947869157186
s5h5,3612.3232440142087
s5h6,3421.118191310998
s5h7,3511.856408056471
s5h8,3693.9429985000506
s5h9,3623.9529743205976
s5h10,3525.4700057031155
s5h11,3388.2434896547184
s5h12,3398.189403855691
s5h13,3264.650498834477
s5h14,3355.3971894175015
s5h15,3560.073225325715
s5h16,3503.192120789913
s5h17,3416.374760132453
s5h18,3284.9818891013133
s5h19,3297.8966021563547
s5h20,3170.9609431854547
s5h21,3262.6275146368043
s6h1,782223.5166704779
s6h2,792358.6373760946
s6h3,792028.0564717234
s6h4,768531.1091631261
s6h5,698383.6519295707
s6h6,619817.9065134356
s6h7,670671.6337264251
s6h8,763607.8307318261
s6h9,771427.3165624941
s6h10,770038.880273153
s6h11,744631.1947278171
s6h12,675526.556168815
s6h13,596868.0188643617
s6h14,648247.4818212511
s6h15,740899.7157938257
s6h16,748597.8375955534
s6h17,747116.8575154432
s6h18,721597.152006031
s6h19,652448.0036005616
s6h20,573719.0020694236
s6h21,625042.1380014163
s7h1,45732.91695905766
s7h2,44736.51673500405
s7h3,44958.88289760715
s7h4,44073.31464907692
s7h5,39523.545372034445
s7h6,36120.66561587581
s7h7,42126.05010151862
s7h8,46376.15166428602
s7h9,45078.53854444419
s7h10,45305.13601350708
s7h11,44423.799071436646
s7h12,39878.26110085396
s7h13,36479.61265115512
s7h14,42489.22844325772
s7h15,46743.561312484926
s7h16,45450.17949910288
s7h17,45681.008274625565
s7h18,44803.90263901493
s7h19,40262.59597489205
s7h20,36868.178831653
s7h21,42882.0259302154
s8h1,15180.210162017875
s8h2,15685.181508236852
s8h3,15919.577530890112
s8h4,15266.33893924083
s8h5,14077.590268850916
s8h6,13111.246457946676
s8h7,14450.11859620175
s8h8,15129.187750943604
s8h9,15634.375177489037
s8h10,15868.987280468755
s8h11,15215.964769145929
s8h12,14027.432179082469
s8h13,13061.304448504685
s8h14,14400.392667086217
s8h15,15079.677902154524
s8h16,15585.081409026416
s8h17,15819.909592332584
s8h18,15167.10316133622
s8h19,13978.786651599214
s8h20,13012.875001347886
s8h21,14352.179300255873
s9h1,91513.57194871355
s9h2,94739.52007469679
s9h3,94637.40823931377
s9h4,89020.24996253368
s9h5,70821.46156528048
s9h6,55986.93281383338
s9h7,65363.721101318864
s9h8,84654.21757875454
s9h9,90107.96713315242
s9h10,91333.2880988938
s9h11,86505.67446742459
s9h12,68775.09158904548
s9h13,54216.797529334675
s9h14,63755.13544396249
s9h15,83138.66767986046
s9h16,88644.5222035361
s9h17,89897.49572424055
s9h18,85082.92655984435
s9h19,67356.66114804421
s9h20,52797.47096787789
s9h21,62331.79811919152
s10h1,98981.7933011841
s10h2,99584.37693702453
s10h3,94096.76009650668
s10h4,94304.16566399399
s10h5,80237.93318924402
s10h6,69895.19244957168
s10h7,82793.2196053315
s10h8,95119.62887512703
s10h9,97181.07567438028
s10h10,92296.13225853007
s10h11,92749.79463762401
s10h12,78781.4490556213
s10h13,68474.83144119593
s10h14,81383.27056049854
s10h15,93709.38869292616
s10h16,95766.08884360509
s10h17,90874.54402883517
s10h18,91320.83290931433
s10h19,77344.79241727856
s10h20,67030.34609494342
s10h21,79930.90080865164
s11h1,70479.27815989412
s11h2,66723.45275608226
s11h3,64187.01074323854
s11h4,67196.57811207144
s11h5,64324.155941914934
s11h6,72317.40324670379
s11h7,70306.9869086349
s11h8,68953.60285348869
s11h9,64623.3681979293
s11h10,61946.94984898834
s11h11,64916.491450778776
s11h12,62027.03927631894
s11h13,70008.54724307037
s11h14,67987.60879771455
s11h15,66623.98268520809
s11h16,62283.57040375422
s11h17,59596.98925275335
s11h18,62556.37146302356
s11h19,59656.760681710984
s11h20,67628.11022213918
s11h21,65597.0133919948
s12h1,32339.526930395685
